source,legend,value,target
Indoor volleyball,AR,1.214441837,Argentina (AR)
Indoor volleyball,AU,0.053064961,Australia (AU)
Indoor volleyball,BR,1.909159185,Brazil (BR)
Indoor volleyball,CA,0.552693216,Canada (CA)
Indoor volleyball,CH,0.137546826,Switzerland (CH)
Indoor volleyball,CO,0.445546187,Colombia (CO)
Indoor volleyball,DE,0.068154895,Germany (DE)
Indoor volleyball,ES,0.034774974,Spain (ES)
Indoor volleyball,FR,0.221767423,France (FR)
Indoor volleyball,GB,0.076198533,Great Britain (GB)
Indoor volleyball,GR,0.146048601,Greece (GR)
Indoor volleyball,HR,0.288778625,Croatia (HR)
Indoor volleyball,HU,0.053410035,Hungary (HU)
Indoor volleyball,IR,3.334039366,Iran (IR)
Indoor volleyball,IT,2.573440142,Italy (IT)
Indoor volleyball,JP,1.284644836,Japan (JP)
Indoor volleyball,KZ,0.063734246,Kazakhstan (KZ)
Indoor volleyball,KR,1.579056649,South Korea (KR)
Indoor volleyball,NL,1.402965787,Netherlands (NL)
Indoor volleyball,NZ,0.120560826,New Zealand (NZ)
Indoor volleyball,RU,0.396177454,Russia (RU)
Indoor volleyball,SE,0.047344915,Sweden (SE)
Indoor volleyball,UA,0.020581737,Ukraine (UA)
Indoor volleyball,US,0.554283291,United States (US)
Indoor volleyball,ZA,0.038066571,South Africa (ZA)
Judo,AR,2.844802129,Argentina (AR)
Judo,AU,0.116258362,Australia (AU)
Judo,BR,2.139357729,Brazil (BR)
Judo,CA,0.358196924,Canada (CA)
Judo,CH,1.038407877,Switzerland (CH)
Judo,CO,0.928579592,Colombia (CO)
Judo,CU,1.612545323,Cuba (CU)
Judo,DE,0.345268308,Germany (DE)
Judo,DK,0.08694798,Denmark (DK)
Judo,ES,0.329205703,Spain (ES)
Judo,FR,5.916409531,France (FR)
Judo,GB,0.333117595,Great Britain (GB)
Judo,GR,0.893831374,Greece (GR)
Judo,HR,0.271453657,Croatia (HR)
Judo,HU,2.94511873,Hungary (HU)
Judo,IR,0.11902654,Iran (IR)
Judo,IT,0.31192351,Italy (IT)
Judo,JP,2.597487076,Japan (JP)
Judo,KZ,2.365092489,Kazakhstan (KZ)
